year,name,engine_size,mileage(km),price(eur),link
2018,Ford Kuga,1.5 Diesel,71000,18950,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5-diesel-titanium-120bhp/40500709
2020,Ford Focus,1.5 Diesel,124820,17500,https://www.donedeal.ie/cars-for-sale/ford-focus-zetec-tdci/38662043
2018,Ford Kuga,1.5 Diesel,182000,14900,https://www.donedeal.ie/cars-for-sale/ford-kuga-titanium-1-5-tdci-120ps-f-fwd-4dr/40486270
2022,Ford Kuga,1.5 Diesel,92939,29500,https://www.donedeal.ie/cars-for-sale/ford-kuga-2022-st-line-x/40483616
2022,Ford Focus,1.5 Diesel,91424,23950,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-style-ecob/40480574
2020,Ford Focus,1.5 Diesel,99977,17950,https://www.donedeal.ie/cars-for-sale/ford-focus-zetec-tdci-auto/39281383
2014,Ford Fiesta,1.2 Petrol,180164,7950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-zetec/38420219
2016,Ford Focus,1.5 Diesel,166000,8950,https://www.donedeal.ie/cars-for-sale/ford-focus-2016/40397563
2010,Ford Mondeo,2.0 Diesel,314389,3750,https://www.donedeal.ie/cars-for-sale/ford-mondeo-2-0-tdci-edge-140bhp-6speed-5dr/33974895
2015,Ford Fiesta,1.2 Petrol,99000,10450,https://www.donedeal.ie/cars-for-sale/2015-ford-fiesta-mca-zetec-1-25-60ps-m5-4dr/40424016
2017,Ford Focus,1.5 Diesel,104154,14950,https://www.donedeal.ie/cars-for-sale/2017-ford-focus-st-line-1-5tdci-just-64k-miles/40379032
2020,Ford Fiesta,1.0 Petrol,28000,16950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-0-petrol-titanium-100bhp/40087080
2022,Ford Puma,1.0 Petrol Hybrid,83296,20950,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0-petrol-hybrid-titanium-125bhp/40019405
2019,Ford Kuga,1.5 Diesel,79783,21750,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5-diesel-titanium-120bhp/39929428
2015,Ford Focus,1.6 Diesel,242524,10950,https://www.donedeal.ie/cars-for-sale/ford-focus-2015/36722947
2015,Ford Focus,1.6 Diesel,257521,7795,https://www.donedeal.ie/cars-for-sale/2015-ford-focus-1-6-tdci-style/40533390
2014,Ford Fiesta,1.0 Petrol,164992,7995,https://www.donedeal.ie/cars-for-sale/2014-ford-fiesta-1-0p-titanium-125hp/40777195
2014,Ford Fiesta,1.0 Petrol,144840,7295,https://www.donedeal.ie/cars-for-sale/2014-ford-fiesta-1-0p-titanium-x/40777108
2014,Ford Fiesta,1.2 Petrol,180164,7950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-zetec/38420219
2012,Ford Fiesta,1.2 Petrol,101436,7300,https://www.donedeal.ie/cars-for-sale/ford-fiesta-low-miles-1-25-zetec-82ps-5dr-argento/40796866
2014,Ford Fiesta,1.0 Petrol,164992,7995,https://www.donedeal.ie/cars-for-sale/2014-ford-fiesta-1-0p-titanium-125hp/40777195
2014,Ford Fiesta,1.0 Petrol,144840,7295,https://www.donedeal.ie/cars-for-sale/2014-ford-fiesta-1-0p-titanium-x/40777108
2012,Ford Fiesta,1.4 Diesel,147000,6950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-2012-low-kms/39368144
2014,Ford Fiesta,1.2 Petrol,180164,7950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-zetec/38420219
