year,name,engine_size,mileage(km),price(eur),link
2013,Nissan Qashqai,1.5 Diesel,222858,7950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dci-xe-seven-seater/34624338
2013,Volkswagen Passat,1.6 Diesel,229205,7950,https://www.donedeal.ie/cars-for-sale/volkswagen-passat-estate-1-6-tdi-bluemotion/34460303
2016,Opel Insignia,1.6 Diesel,238874,8950,https://www.donedeal.ie/cars-for-sale/opel-insignia-2016-1-6-diesel-sports-tourer/32688680
2013,Volkswagen Beetle,1.6 Diesel,212614,7950,https://www.donedeal.ie/cars-for-sale/volkswagen-beetle-1-6-tdi-bluemotion/40750278
2015,Nissan Qashqai,1.5 Diesel,295266,5950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-diesel-xe-5-door-trade-sale/40729031
2015,Hyundai i10,1.0 Petrol,158306,6950,https://www.donedeal.ie/cars-for-sale/hyundai-i10-1-2-petrol-deluxe-5-door/40332557
2013,Skoda Rapid,1.6 Diesel,233767,5450,https://www.donedeal.ie/cars-for-sale/skoda-rapid-1-6-tdi-active-5-door/39821784
2013,Kia Ceed,1.6 Diesel,155880,6950,https://www.donedeal.ie/cars-for-sale/kia-ceed-1-6-diesel-estate-tx-5-door/39479181
2015,Nissan Note,1.2 Petrol,117131,7950,https://www.donedeal.ie/cars-for-sale/nissan-note-1-2-petrol-sv-5-door-low-mileage/39129643
2015,Fiat 500,1.2 Petrol,54736,7495,https://www.donedeal.ie/cars-for-sale/fiat-500-lounge-2015-1-2-petrol-only-54-000km/40100892?campaign=3
2015,Opel Mokka,1.7 Diesel,183464,5999,https://www.donedeal.ie/cars-for-sale/2015-opel-mokka-fresh-nct/40605281?campaign=3
2014,Volkswagen Up!,1.0 Petrol,115000,7990,https://www.donedeal.ie/cars-for-sale/volkswagen-up-vw-up-1-0-litre-automatic-ideal/40741592?campaign=3
2014,Vauxhall Astra,1.7 Diesel,194582,5950,https://www.donedeal.ie/cars-for-sale/vauxhall-astra-1-7-cdti-techline-estate/37094643
2015,Dacia Sandero,1.5 Diesel,89944,5950,https://www.donedeal.ie/cars-for-sale/dacia-sandero-1-5-dci-signiture-prime-low-mileage/40798032
2013,Ford Fiesta,1.2 Petrol,251034,5450,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-25-petrol-titanium/40612160
2015,Ford Focus,1.6 Diesel,244000,5950,https://www.donedeal.ie/cars-for-sale/ford-focus-deposit-taken/40772478
2015,BMW X1,2.0 Diesel,209214,6450,https://www.donedeal.ie/cars-for-sale/2015-bmw-x1-sdrive-se-2-0l-diesel-nct-04-2026/40229877
2014,Hyundai ix35,1.7 Diesel,230844,7250,https://www.donedeal.ie/cars-for-sale/hyundai-ix35-2014-1-7-diesel-manual/40583289
2014,Toyota Prius,1.8 Petrol Hybrid,432347,5999,https://www.donedeal.ie/cars-for-sale/toyota-prius-zvw30-5dr-auto/35915900
2016,Renault Megane,1.2 Petrol,95000,8995,https://www.donedeal.ie/cars-for-sale/renault-megane-1-2-auto-5-dr/40644208
2014,Renault Scenic,1.5 Diesel,223815,5950,https://www.donedeal.ie/cars-for-sale/renault-scenic-2014/39838345
2013,Kia Sportage,1.7 Diesel,216256,6999,https://www.donedeal.ie/cars-for-sale/kia-sportage-2013-aa-approved/40608625
2017,Opel Astra,1.4 Petrol,196500,8950,https://www.donedeal.ie/cars-for-sale/opel-astra-2017-aa-approved-1-year-warranty/39446649
2013,Kia Sportage,1.7 Diesel,197659,7450,https://www.donedeal.ie/cars-for-sale/kia-sportage-2013-panoramic-sun-roof/39420413
2013,SEAT Alhambra,2.0 Diesel,286703,7750,https://www.donedeal.ie/cars-for-sale/seat-alhambra-timing-belt-done-7-seater/39225181
2015,Nissan Note,1.2 Petrol,96243,7950,https://www.donedeal.ie/cars-for-sale/nissan-note-1-2-sv-fp-4dr/40461953
2014,Suzuki Alto,1.0 Petrol,93019,5750,https://www.donedeal.ie/cars-for-sale/suzuki-alto-2014-142-with-warranty/39272893
2016,Hyundai i10,1.0 Petrol,163380,6999,https://www.donedeal.ie/cars-for-sale/hyundai-i10-2016-1-0-top-spec/36334747
2014,Vauxhall Corsa,1.2 Petrol,164233,6450,https://www.donedeal.ie/cars-for-sale/vauxhall-opel-corsa-2014-1-2-top-spec/32174557
2016,Citroen C4,1.6 Diesel,117000,7995,https://www.donedeal.ie/cars-for-sale/2016-citroen-c4-piacsso-panoramic-roof/40748536
2018,Nissan Leaf,24 kWh Electric,118000,7995,https://www.donedeal.ie/cars-for-sale/2018-nissan-leaf-service-history-nct-march-2026/40789950
2014,Peugeot 2008,1.2 Petrol,131000,7995,https://www.donedeal.ie/cars-for-sale/peugeot-2008-active-1-2-irish-car-highly-mai/40796877
2015,Peugeot 2008,1.4 Diesel,135402,7950,https://www.donedeal.ie/cars-for-sale/151-peugeot-2008-new-nct/40377299
2013,Ford Fiesta,1.2 Petrol,162000,6495,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-25-zetec-3dr-argento/40644215
2015,Skoda Octavia,1.6 Diesel,220000,7995,https://www.donedeal.ie/cars-for-sale/skoda-octavia-1-6-tdi-combi-style-5dr/40644214
2014,Nissan Qashqai,1.5 Diesel,227000,5999,https://www.donedeal.ie/cars-for-sale/2014-nissan-qashqai-1-5-diesel-nct-11-26/40739963
2015,Opel Mokka,1.7 Diesel,183464,5999,https://www.donedeal.ie/cars-for-sale/2015-opel-mokka-fresh-nct/40605281?campaign=3
2017,Suzuki Celerio,1.0 Petrol,111044,6450,https://www.donedeal.ie/cars-for-sale/1-0-suzuki-celerio-tax-brand-new-nct-07-276450/40200734
2015,Renault Zoe,22 kWh Electric,80302,5750,https://www.donedeal.ie/cars-for-sale/renault-zoe-nct-27-low-kms-4-door-stunning/40135664
2013,Nissan Qashqai,1.6 Petrol,234963,5950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2013-7-seater-new-nct-tax/40640361
2016,Ford Focus,1.5 Diesel,274062,6450,https://www.donedeal.ie/cars-for-sale/162-ford-focus-1-5-tdci-titanium-120ps/40740345
2016,Dacia Duster,1.5 Diesel,143774,8950,https://www.donedeal.ie/cars-for-sale/dacia-duster-162-1-5-dci-110-bhp-signature/39799694
2016,Renault Clio,1.1 Petrol,144670,7245,https://www.donedeal.ie/cars-for-sale/renault-clio-1-2-iv-dynamique-75-bhp-nav/39793951
2015,Ford B-Max,1.5 Diesel,159290,6750,https://www.donedeal.ie/cars-for-sale/ford-b-max-1-5-tdci-zetec-75ps/35864876
2018,Ford Fiesta,1.0 Petrol,303440,6995,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-0t-titanium-ecoboost-100ps/40449522
